date,site.id,influx
2014-11-07,64,0
2014-11-07,66,89
2014-11-07,68,5
2014-11-07,69,0
2014-11-07,78,0
2014-11-07,79,1244
2014-11-07,85,0
2014-11-07,86,0
2014-11-07,89,25
2014-11-07,90,52
2014-11-07,100,0
2014-11-07,101,0
2014-11-07,102,0
2014-11-07,103,0
2014-11-07,105,167
2014-11-07,146,22
2014-11-07,147,0
2014-11-07,149,0
2014-11-07,150,33
2014-11-07,151,0
2014-11-08,1,11
2014-11-08,3,114
2014-11-08,5,0
2014-11-08,8,0
2014-11-08,10,0
2014-11-08,11,0
2014-11-08,14,0
2014-11-08,16,0
2014-11-08,17,0
2014-11-08,18,0
2014-11-08,20,0
2014-11-08,21,0
2014-11-08,22,0
2014-11-08,24,0
2014-11-08,25,0
2014-11-08,28,10
2014-11-08,34,0
2014-11-08,36,0
2014-11-08,37,5
2014-11-08,38,0
2014-11-08,39,172
2014-11-08,40,0
2014-11-08,47,0
2014-11-08,51,11
2014-11-08,53,0
2014-11-08,62,0
2014-11-08,63,0
2014-11-08,64,0
2014-11-08,66,76
2014-11-08,68,0
2014-11-08,69,0
2014-11-08,78,0
2014-11-08,79,1239
2014-11-08,85,0
2014-11-08,86,0
2014-11-08,89,15
2014-11-08,90,23
2014-11-08,100,0
2014-11-08,101,0
2014-11-08,102,0
2014-11-08,103,0
2014-11-08,105,78
2014-11-08,146,23
2014-11-08,147,0
2014-11-08,149,0
2014-11-08,150,80
2014-11-08,151,0
2014-11-09,1,11
2014-11-09,3,85
2014-11-09,5,0
2014-11-09,8,0
2014-11-09,10,0
2014-11-09,11,0
2014-11-09,14,0
2014-11-09,16,0
2014-11-09,17,0
2014-11-09,18,0
2014-11-09,20,0
2014-11-09,21,0
2014-11-09,22,0
2014-11-09,24,0
2014-11-09,25,0
2014-11-09,28,3
2014-11-09,34,2
2014-11-09,36,0
2014-11-09,37,0
2014-11-09,38,0
2014-11-09,39,89
2014-11-09,40,0
2014-11-09,47,0
2014-11-09,51,0
