origin,destination,distance
8,39,176929.152582424
8,40,164183.095202319
8,47,336051.97477472
8,51,340511.378222304
8,53,302182.478129724
8,62,522208.709848328
8,63,532229.678355899
8,64,528570.757082479
8,66,438958.249188147
8,68,472388.156320128
8,69,472059.414554078
8,78,454505.152221646
8,79,430175.278177147
8,85,474107.162221144
8,86,472541.914636895
8,89,95643.206798442
8,90,88366.6460633324
8,100,434398.004138576
8,101,462672.768157598
8,102,462672.768157598
8,103,488262.062419949
8,105,106741.837696895
8,146,362140.46567749
8,147,378390.01765248
8,149,404511.965183204
8,150,358243.431244144
8,151,385055.027988477
10,1,105589.326302106
10,3,221010.27803941
10,5,278745.501383342
10,8,424.264068711929
10,11,36802.0618968992
10,14,242968.199412211
10,16,260941.303200173
10,17,258623.04978116
10,18,260941.303200173
10,20,91362.5522696385
10,21,87702.8774943888
10,22,280013.023155975
10,24,190027.116606327
10,25,263329.846000346
10,28,274452.510913835
10,34,175160.306041711
10,36,246769.51497396
10,37,278319.292470272
10,38,265435.106207694
10,39,176504.888513712
10,40,163758.831133607
10,47,335627.710706008
10,51,340087.114153592
10,53,301758.214061012
10,62,521784.445779616
10,63,531805.414287187
10,64,528146.493013767
10,66,438533.985119435
10,68,471963.892251416
10,69,471635.150485366
10,78,454080.888152934
10,79,429751.014108435
10,85,473682.898152433
10,86,472117.650568183
10,89,95218.94272973
10,90,87942.3819946205
10,100,433973.740069864
10,101,462248.504088886
10,102,462248.504088886
10,103,487837.798351237
10,105,106317.573628183
10,146,361716.201608778
10,147,377965.753583768
10,149,404087.701114492
10,150,357819.167175432
10,151,384630.763919765
11,1,68845.84304897
11,3,184266.794786272
11,5,242002.018130204
11,8,37226.325965611
11,10,36802.0618968991
11,14,206224.716159073
11,16,224197.819947035
11,17,221879.566528023
11,18,224197.819947035
11,20,54619.0690165025
11,21,50959.3942412528
11,22,243269.539902837
11,24,153283.633353189
11,25,226586.362747209
11,28,237709.027660697
11,34,138416.822788574
11,36,210026.031720823
11,37,241575.809217134
11,38,228691.622954556
11,39,139761.405260574
11,40,127015.34788047
11,47,298884.22745287
11,51,303343.630900454
11,53,265014.730807874
11,62,485040.962526478
11,63,495061.931034051
11,64,491403.00976063
11,66,401790.501866296
11,68,435220.408998278
11,69,434891.667232227
11,78,417337.404899796
11,79,393007.530855297
11,85,436939.414899294
11,86,435374.167315044
11,89,58475.4594765939
11,90,51198.8987414842
11,100,397230.256816726
11,101,425505.020835748
11,102,425505.020835748
11,103,451094.315098099
11,105,69574.0903750482
11,146,324972.71835564
11,147,341222.27033063
11,149,367344.217861353
11,150,321075.683922294
11,151,347887.280666627
14,1,138788.392604351
14,3,49994.5885770051
14,5,39674.3602856297
14,8,243392.463480925
14,10,242968.199412213
14,11,206224.716159074
14,16,24841.7680651978
14,17,22523.5146461853
14,18,24841.7680651978
14,20,218138.112056407
14,21,214478.437281157
14,22,80119.5618140815
14,24,61738.952638569
14,25,24258.7049026348
14,28,74559.0495719437
14,34,68185.6021344975
14,36,3996.18059344894
14,37,78425.83112838
14,38,26363.9651099819
14,39,66876.2099189463
14,40,178603.285279186
14,47,107095.883686439
14,51,111555.287134024
14,53,62687.0729632979
14,62,293252.618760046
14,63,303273.587267618
14,64,299614.665994198
14,66,215603.637087275
14,68,249033.544219257
14,69,248704.802453206
14,78,231150.540120775
14,79,206820.666076276
14,85,250752.550120273
14,86,249187.302536023
14,89,169277.594715138
